time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,sunshine_duration,relative_humidity_2m_mean,cloudcover_mean,sunrise,sunset,date,zone,latitude,longitude,source_file,city,year,month,month_name,day_of_year,season,sunshine_hours,temperature_range,rain_day,hot_day,freezing_day,windy_day,comfort_temperature,dry_day,sunny_enough,low_cloud_cover,suitable_retreat_day,ok_day,suitability_label,ok_day_label,month_sin,month_cos,day_sin,day_cos
2018-01-24,8.6,4.1,6.3,0.1,4.8,17.6,5.42,10535.08,95,88,2018-01-24T07:49,2018-01-24T17:36,2018-01-24,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,24,Winter,2.9264111111111113,4.5,False,False,False,False,False,True,False,False,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.4012289854475009,0.9159777842484877
2018-01-25,5.6,0.1,3.1,10.6,24.4,49.7,4.23,9447.3,95,82,2018-01-25T07:44,2018-01-25T17:38,2018-01-25,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,25,Winter,2.62425,5.5,True,False,False,True,False,False,False,False,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.4169258813287287,0.908940487313808
2018-01-25,8.7,1.8,6.6,20.8,13.5,47.5,5.99,22812.72,95,88,2018-01-25T07:48,2018-01-25T17:38,2018-01-25,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,25,Winter,6.336866666666667,6.8999999999999995,True,False,False,True,False,False,True,False,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.4169258813287287,0.908940487313808
2018-01-26,5.6,-0.2,1.9,0.0,26.8,51.5,9.26,30763.93,83,49,2018-01-26T07:43,2018-01-26T17:39,2018-01-26,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,26,Winter,8.545536111111112,5.8,False,False,True,True,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.4324994021339788,0.901634220265486
2018-01-26,8.7,1.8,5.1,0.1,15.7,45.0,8.35,28420.42,85,65,2018-01-26T07:47,2018-01-26T17:39,2018-01-26,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,26,Winter,7.894561111111111,6.8999999999999995,False,False,False,True,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.4324994021339788,0.901634220265486
2018-01-27,5.6,-0.7,2.1,0.0,25.3,49.0,9.16,29821.74,80,33,2018-01-27T07:42,2018-01-27T17:40,2018-01-27,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,27,Winter,8.283816666666667,6.3,False,False,True,True,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.44794493940789115,0.8940611451454876
2018-01-27,10.9,1.9,6.1,0.0,12.9,37.4,8.64,31441.53,82,32,2018-01-27T07:46,2018-01-27T17:40,2018-01-27,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,27,Winter,8.733758333333332,9.0,False,False,False,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.44794493940789115,0.8940611451454876
2018-01-28,8.7,-2.5,2.4,0.0,21.9,42.1,11.61,31955.86,75,4,2018-01-28T07:42,2018-01-28T17:41,2018-01-28,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,28,Winter,8.876627777777777,11.2,False,False,True,True,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.4632579225674917,0.88622350294858
2018-01-28,12.0,2.8,7.1,0.0,18.2,54.7,11.25,31771.15,71,12,2018-01-28T07:45,2018-01-28T17:41,2018-01-28,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,28,Winter,8.825319444444444,9.2,False,False,False,True,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.4632579225674917,0.88622350294858
2018-01-29,10.6,-0.4,4.1,0.0,13.8,27.7,11.79,32250.07,81,0,2018-01-29T07:41,2018-01-29T17:42,2018-01-29,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,29,Winter,8.958352777777778,11.0,False,False,True,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.4784338202547012,0.8781236129591848
2018-01-29,13.4,3.3,8.2,0.0,10.0,40.3,11.31,31998.07,75,0,2018-01-29T07:45,2018-01-29T17:43,2018-01-29,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,29,Winter,8.888352777777778,10.100000000000001,False,False,False,True,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.4784338202547012,0.8781236129591848
2018-01-30,9.6,-0.9,3.3,0.0,11.2,22.3,12.18,32415.08,82,0,2018-01-30T07:40,2018-01-30T17:44,2018-01-30,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,30,Winter,9.004188888888889,10.5,False,False,True,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.49346814167723735,0.8697638720650646
2018-01-30,13.2,2.9,7.2,0.0,13.3,31.7,11.6,32166.47,76,11,2018-01-30T07:44,2018-01-30T17:44,2018-01-30,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,30,Winter,8.935130555555556,10.299999999999999,False,False,False,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.49346814167723735,0.8697638720650646
2018-01-31,10.9,-1.5,5.0,0.0,10.0,19.8,12.4,32675.39,68,8,2018-01-31T07:39,2018-01-31T17:45,2018-01-31,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,31,Winter,9.076497222222223,12.4,False,False,True,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.5083564379375122,0.8611467540480452
2018-01-31,13.6,3.6,8.4,0.0,7.4,21.6,11.76,32173.19,71,9,2018-01-31T07:43,2018-01-31T17:45,2018-01-31,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,31,Winter,8.936997222222223,10.0,False,False,False,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.5083564379375122,0.8611467540480452
2018-02-01,5.8,-0.9,2.6,0.1,29.1,56.2,8.31,27202.84,79,51,2018-02-01T07:38,2018-02-01T17:46,2018-02-01,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,2,February,32,Winter,7.556344444444444,6.7,False,False,True,True,False,True,True,True,0,0,Not suitable,Not OK,0.8660254037844386,0.5000000000000001,0.5230943033491326,0.8522748088519838
